Trade Id,Trade Type,Product Type,Book Legal Entity,Book,CounterParty,CounterParty.Parent Short Name,CounterParty.Attribute.Guarantor,CounterParty.Attribute.EADS_Sector,Pay Leg Principal,Pay Leg Principal Ccy,Rcv Leg Principal,Rcv Leg Principal Ccy,Trade Booking Date,Trade Settle Date,Maturity Date,Pay Leg Type,Rcv Leg Type,Pay Leg Fixed Rate,Pay Leg Floating Rate,Pay Leg DayCount,Rate Index,Rate Index Tenor,Rcv Leg Floating Rate,Rcv Leg Fixed Rate,Rcv Leg DayCount,Rate Index Spread,Pricer.ACCRUAL_PAYLEG,Pricer.ACCRUAL_RECLEG,TradeStatus,Pricer.NPV,Pay Leg Compound Type,Pay Leg Index Frequency,Pay Leg Payment Bus Day Calendar,Pay Leg Payment Bus Day Convention,Pay Leg Payment Frequency,Prin Sched Type,Rcv Leg Compound Type,Rcv Leg Fixing Convention,Rcv Leg Payment Bus Day Calendar,Rcv Leg Payment Bus Day Convention,Rcv Leg Payment Frequency
1005926,Buy,Swap,1755,1755_BOOK,EADSNV,BU_HQ,EADSNV,,"1,239,260.58",EUR,"1,239,260.58",EUR,20/01/2015,20/01/2015,29/07/2022,Fixed,Float,1.675000,,30/360,EURIBOR,3M,EUR/EURIBOR/3M/EURIBOR01,,ACT/360,0.000000,"(12,166.27)",(546.07),VERIFIED,"(23,822.44)",NO_COMPOUND,,[TARGET],MOD_FOLLOW,PA,Bullet,NO_COMPOUND,Bus,[TARGET],MOD_FOLLOW,QTR
2292486,Sell,Swap,1755,1755_BOOK,EADSNV,BU_HQ,EADSNV,,"8,000,000",USD,"8,000,000",USD,26/06/2019,15/07/2019,30/06/2025,Fixed,Float,1.730000,,ACT/360,LIBOR,3M,USD/LIBOR/3M/LIBOR01,,ACT/360,0.000000,"(13,762.15)","1,902.36",VERIFIED,"(41,438.27)",NO_COMPOUND,,"[MUC, TARGET]",MOD_FOLLOW,QTR,Schedule,NO_COMPOUND,Bus,"[MUC, TARGET]",MOD_FOLLOW,QTR
2195018,Buy,Swap,EADSNV,NV_MICRO,1755,BU_HQ,EADSNV,,"16,550,000",USD,"16,550,000",USD,02/05/2019,31/05/2019,28/04/2025,Float,Fixed,,USD/LIBOR/3M/LIBOR01,ACT/360,LIBOR,3M,,2.360000,ACT/360,0.000000,(190.45),885.00,VERIFIED,"295,699.66",NO_COMPOUND,3M,"[MUC, TARGET]",MOD_FOLLOW,QTR,Schedule,NO_COMPOUND,Bus,"[MUC, TARGET]",MOD_FOLLOW,QTR
1391410,Buy,Swap,EADSNV,NV_LIABEXT,HYVE_DE_MUC,,HYVE_DE_MUC,BANKS,"100,000,000",EUR,"100,000,000",EUR,11/05/2016,13/05/2016,13/05/2031,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,0.730000,ACTB/ACTB,0.000000,"22,000.00","584,000.00",VERIFIED,"1,548,862.40",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
2089337,Buy,Swap,EADSNV,NV_MICRO,1755,BU_HQ,EADSNV,,"10,000,000",EUR,"10,000,000",EUR,02/01/2019,04/01/2019,04/07/2028,Float,Fixed,,EUR/EURIBOR/6M/EURIBOR01,ACT/360,EURIBOR,6M,,0.700000,ACT/360,0.000000,"8,493.33","46,472.22",VERIFIED,"232,282.45",NO_COMPOUND,6M,"[MUC, TARGET]",MOD_FOLLOW,SA,Bullet,NO_COMPOUND,Bus,"[MUC, TARGET]",MOD_FOLLOW,PA
3252432,Buy,Swap,EADSNV,NV_LIABEXT,DEUT_DE_FRA,,DEUT_DE_FRA,BANKS,"50,000,000",EUR,"50,000,000",EUR,07/07/2021,09/07/2021,07/04/2025,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,1.625000,ACTB/ACTB,2.021500,"(106,404.86)","523,116.44",VERIFIED,"(465,891.31)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
1794783,Buy,Swap,EADSNV,NV_LIABEXT,GSIL_GB_LON,GSGI_US_NYC,GSIL_GB_LON,BANKS,"100,000,000",USD,"100,000,000",USD,21/11/2017,22/11/2017,10/10/2027,Float,Fixed,,USD/LIBOR/3M/LIBOR01,ACT/360,LIBOR,3M,,2.328000,30/360,0.000000,"(32,123.61)","911,800.00",VERIFIED,"4,187,078.38",NO_COMPOUND,3M,"[LON, NYC]",MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,"[LON, NYC]",FOLLOWING,SA
3198572,Buy,Swap,EADSNV,NV_LIABEXT,RBOS_NL_AMS,,RBOS_NL_AMS,,"100,000,000",EUR,"100,000,000",EUR,27/05/2021,09/06/2021,09/06/2030,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,1.625000,ACTB/ACTB,1.612000,"(238,483.33)","1,179,794.52",VERIFIED,"(3,790,136.99)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3198268,Buy,Swap,EADSNV,NV_LIABEXT,COBA_DE_FRA,,COBA_DE_FRA,BANKS,"100,000,000",EUR,"100,000,000",EUR,27/05/2021,09/06/2021,09/06/2030,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,1.625000,ACTB/ACTB,1.636000,"(243,950.00)","1,179,794.52",VERIFIED,"(3,994,178.55)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3201182,Buy,Swap,EADSNV,NV_LIABEXT,BARC_IE_DUB,BARC_GB_LON,BARC_IE_DUB,BANKS,"100,000,000",EUR,"100,000,000",EUR,01/06/2021,03/06/2021,07/04/2028,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.000000,ACTB/ACTB,2.141500,"(230,476.39)","1,484,931.51",VERIFIED,"(2,304,594.96)",NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
