Trade Id,Trade Type,Product Type,Book Legal Entity,Book,CounterParty,CounterParty.Parent Short Name,CounterParty.Attribute.Guarantor,CounterParty.Attribute.EADS_Sector,Pay Leg Principal,Pay Leg Principal Ccy,Rcv Leg Principal,Rcv Leg Principal Ccy,Trade Booking Date,Trade Settle Date,Maturity Date,Pay Leg Type,Rcv Leg Type,Pay Leg Fixed Rate,Pay Leg Floating Rate,Pay Leg DayCount,Rate Index,Rate Index Tenor,Rcv Leg Floating Rate,Rcv Leg Fixed Rate,Rcv Leg DayCount,Rate Index Spread,Pricer.ACCRUAL_PAYLEG,Pricer.ACCRUAL_RECLEG,TradeStatus,Pricer.NPV,Pay Leg Compound Type,Pay Leg Index Frequency,Pay Leg Payment Bus Day Calendar,Pay Leg Payment Bus Day Convention,Pay Leg Payment Frequency,Prin Sched Type,Rcv Leg Compound Type,Rcv Leg Fixing Convention,Rcv Leg Payment Bus Day Calendar,Rcv Leg Payment Bus Day Convention,Rcv Leg Payment Frequency
3199248,Buy,Swap,EADSNV,NV_LIABEXT,BNPA_FR_PAR,,BNPA_FR_PAR,BANKS,100000000.00,EUR,100000000.00,EUR,28/05/2021,09/06/2021,09/06/2026,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,1.38,ACTB/ACTB,1.67,-255686.11,1002054.79,VERIFIED,-1721015.30,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3543689,Buy,XCCySwap,EADSNV,NV_ASSETINT,BSUI_FR_PAR,AGRI_FR_PAR,BSUI_FR_PAR,BANKS,1000000.00,USD,900900.90,EUR,01/03/2021,01/03/2021,01/03/2024,Fixed,Fixed,1.70,,ACTB/ACTB,,,,0.10,ACTB/ACTB,0.00,-46.58,2.47,VERIFIED,526.14,NO_COMPOUND,,[NYC],FOLLOWING,PA,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
1391430,Buy,Swap,EADSNV,NV_LIABEXT,BSCH_ES_MAD,,BSCH_ES_MAD,BANKS,100000000.00,EUR,100000000.00,EUR,12/05/2016,13/05/2016,13/05/2026,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,0.38,ACTB/ACTB,0.00,23466.67,307449.32,VERIFIED,903212.57,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
1388157,Buy,Swap,EADSNV,NV_LIABEXT,INGB_NL_AMS,,INGB_NL_AMS,BANKS,100000000.00,EUR,100000000.00,EUR,10/05/2016,13/05/2016,13/05/2031,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,0.70,ACTB/ACTB,0.00,23466.67,562720.55,VERIFIED,1697387.20,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
1136709,Buy,Swap,EADSNV,NV_LIABEXT,BSCH_ES_MAD,,BSCH_ES_MAD,BANKS,100000000.00,EUR,100000000.00,EUR,26/06/2015,02/07/2015,02/04/2024,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,0.98,ACTB/ACTB,0.00,92316.67,894021.92,VERIFIED,3124294.69,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
1794782,Buy,Swap,EADSNV,NV_LIABEXT,NOMA_GB_LON,NOMA_JP_TYO,NOMS_JP_TYO,BANKS,100000000.00,USD,100000000.00,USD,21/11/2017,22/11/2017,10/10/2027,Float,Fixed,,USD/LIBOR/3M/LIBOR01,ACT/360,LIBOR,3M,,2.33,30/360,0.00,-32766.08,918266.67,VERIFIED,3968816.97,NO_COMPOUND,3M,"[LON, NYC]",MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,"[LON, NYC]",FOLLOWING,SA
3251726,Buy,Swap,EADSNV,NV_LIABEXT,RBOS_NL_AMS,,RBOS_NL_AMS,BANKS,100000000.00,EUR,100000000.00,EUR,06/07/2021,08/07/2021,07/04/2025,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,1.63,ACTB/ACTB,1.99,-212730.00,1055136.99,VERIFIED,-803914.76,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3198267,Buy,Swap,EADSNV,NV_LIABEXT,BSUI_FR_PAR,AGRI_FR_PAR,BSUI_FR_PAR,BANKS,100000000.00,EUR,100000000.00,EUR,27/05/2021,09/06/2021,09/06/2030,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,1.63,ACTB/ACTB,1.62,-243697.22,1184246.58,VERIFIED,-3504665.47,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3199239,Buy,Swap,EADSNV,NV_LIABEXT,DEUT_DE_FRA,,DEUT_DE_FRA,BANKS,100000000.00,EUR,100000000.00,EUR,28/05/2021,09/06/2021,09/06/2026,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,1.38,ACTB/ACTB,1.67,-255801.39,1002054.79,VERIFIED,-1723293.77,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
3209812,Buy,Swap,EADSNV,NV_LIABEXT,BSCH_ES_MAD,,BSCH_ES_MAD,BANKS,50000000.00,EUR,50000000.00,EUR,03/06/2021,07/06/2021,07/04/2028,Float,Fixed,,EUR/EURIBOR/3M/EURIBOR01,ACT/360,EURIBOR,3M,,2.00,ACTB/ACTB,2.15,-118350.00,734246.58,VERIFIED,-1109826.81,NO_COMPOUND,3M,[TARGET],MOD_FOLLOW,QTR,Bullet,NO_COMPOUND,Bus,[TARGET],FOLLOWING,PA
