Version	Date	Time	Author	Comment
196	13-Dec-2018	10:15	Philip Swannell	Released from the office.
195	12-Dec-2018	16:34	Philip Swannell	CleanoutREnvironment > ResetREnvironment.
194	12-Dec-2018	16:25	Philip Swannell	Testing release script
193	10-Dec-2018	17:04	Philip Swannell	Changes on Help sheet
192	15-Oct-2018	14:24	Philip Swannell	Added method SCRiPTLogFileName.
191	05-Oct-2018	10:14	Philip Swannell	ShowLogFiles now has Reset argument.
190	04-Oct-2018	12:08	Philip Swannell	Tweak to ShowLogFiles.
189	04-Oct-2018	10:13	Philip Swannell	Tweak to ShowLogFiles.
188	03-Oct-2018	14:25	Philip Swannell	Method ShowLogFiles tries to not open a second instance of SnakeTail.
187	03-Oct-2018	13:39	Philip Swannell	Method ShowLogFiles now calls ShowFileInSnakeTail.
186	22-Jun-2018	14:29	Philip Swannell	Now require BERT 2.4.4 - turns out that 2.4.3 had "poor call performance".
185	11-Jun-2018	11:26	Philip Swannell	Now require BERT 2.4.3 (cont)
184	11-Jun-2018	11:24	Philip Swannell	Now require BERT 2.4.3
183	04-Jun-2018	16:53	Philip Swannell	Check in from the office to get code written at home into Git.
182	29-May-2018	19:19	Philip Swannell	ISDASIMMCorrelations now takes PostProcessing argument.
181	28-May-2018	17:47	Philip Swannell	ISDA SIMM work - changes to allow "1-Day" calculations. 
180	28-May-2018	14:33	Philip Swannell	ISDA SIMM work - changes to allow "1-Day" calculations. 
179	15-May-2018	14:21	Philip Swannell	BERT version 1.63 no longer supported - force user to have 2.3.9.
178	04-May-2018	16:46	Philip Swannell	Now require BERT 2.3.9
177	03-May-2018	16:03	Philip Swannell	Method TestInstallation now permits two different allowable versions of BERT.
176	19-Apr-2018	14:49	Philip Swannell	Improvements to method TestInstallation.
175	18-Apr-2018	16:47	Philip Swannell	Added function ISDASIMMRowMediansFromFiles.
174	18-Apr-2018	14:33	Philip Swannell	Reversed change 172. Instead method ISDASIMMRiskWeightsFromFile takes "Median" as its PercentileMethod argument.
173	18-Apr-2018	13:08	Philip Swannell	MZTools clean up.
172	18-Apr-2018	13:04	Philip Swannell	Method ISDASIMMReturnsFromFile now has PostProcessing argument.
171	14-Apr-2018	12:53	Philip Swannell	Previous bug fix was incomplete. Corrected.
170	13-Apr-2018	16:33	Philip Swannell	Bug fix to ISDASIMMReturnsFromFile: If the file already contained returns then the return from the function put the stress period at the bottom and the three year period at the top. This screwed up filtering with MinimumDataCount:500,125
169	12-Apr-2018	19:40	Philip Swannell	Tweak to ISDASIMMCrossAssetCorrelations.
168	12-Apr-2018	19:27	Philip Swannell	Extra arguments to ISDASIMMCrossAssetCorrelations - non backwards compatible change - new arguments not optional and not at the end.
167	12-Apr-2018	12:28	Philip Swannell	Tweak to error handling in ISDASIMMRiskWeightsFromFiles.
166	12-Apr-2018	09:36	Philip Swannell	Added argument HeaderRowNumber to functions ISDASIMMDeltaInterBucketCorrelations and ISDASIMMDeltaIntraBucketCorrelations
165	11-Apr-2018	12:13	Philip Swannell	Added 2W point to return from function ISDASIMMDeltaIntraBucketCorrelations.
164	10-Apr-2018	16:18	Philip Swannell	Fixed compile error.
163	10-Apr-2018	16:15	Philip Swannell	Added method FormatCorrelations.
162	10-Apr-2018	15:56	Philip Swannell	Tweaks to ISDASIMMDeltaInterBucketCorrelations and ISDASIMMDeltaIntraBucketCorrelations.
161	10-Apr-2018	15:12	Philip Swannell	Changes in modISDASIMM: FileHasUSDates -> DateFormat
160	10-Apr-2018	10:45	Philip Swannell	Method ISDASIMMReturnsFromFile can now accept Headers argument as (e.g. ) MinimumDataCount:500,125RegExp:^((?!derived).)*$
159	08-Apr-2018	09:56	Philip Swannell	Method ISDASIMMRiskWeightsFromFiles now supports PostProcessing as 'Median*10000'
158	05-Apr-2018	13:53	Philip Swannell	Implemented Vivek's "Alt Methodology" for Equity Delta Risk Weights. Implementation is via the syntax 'MinimumDataCount:500,125' meaning require 500 returns AND 125 returns in the stress period.
157	05-Apr-2018	12:20	Philip Swannell	Added argument NaiveReturns to methods ISDASIMMRiskWeightsFromFile and ISDASIMMRiskWeightsFromFiles. I must have failed to release code the previous time I made this change.
